beat,primary_type,count
0111,THEFT,18684
0112,THEFT,16989
0113,THEFT,10237
0114,THEFT,5966
0121,THEFT,3853
0122,THEFT,23508
0123,THEFT,16034
0124,THEFT,10867
0131,THEFT,11563
0132,THEFT,13100
0133,THEFT,6538
0134,CRIMINAL TRESPASS,4996
0211,BATTERY,5377
0212,BATTERY,6535
0213,BATTERY,4412
0214,BATTERY,3712
0215,BATTERY,1458
0221,BATTERY,4218
0222,THEFT,5696
0223,THEFT,4534
0224,BATTERY,4495
0225,BATTERY,1682
0231,BATTERY,4471
0232,BATTERY,5280
0233,BATTERY,5358
0234,THEFT,6107
0235,THEFT,1976
0310,BATTERY,2
0311,BATTERY,5121
0312,BATTERY,9710
0313,BATTERY,7934
0314,BATTERY,5267
0321,BATTERY,10354
0322,BATTERY,7082
0323,BATTERY,7803
0324,BATTERY,9377
0331,BATTERY,7888
0332,BATTERY,7954
0333,THEFT,6286
0334,BATTERY,6853
0411,THEFT,7349
0412,THEFT,7796
0413,BATTERY,6210
0414,BATTERY,10042
0421,BATTERY,15468
0422,BATTERY,7250
0423,BATTERY,13507
0424,BATTERY,8780
0430,THEFT,5
0431,BATTERY,6624
0432,CRIMINAL DAMAGE,6403
0433,BATTERY,4655
0434,BATTERY,3161
0511,BATTERY,10693
0512,BATTERY,10484
0513,BATTERY,9250
0522,BATTERY,10383
0523,BATTERY,8635
0524,BATTERY,7662
0531,BATTERY,6346
0532,BATTERY,6227
0533,BATTERY,10685
0611,BATTERY,8516
0612,BATTERY,11156
0613,BATTERY,7487
0614,BATTERY,5896
0621,BATTERY,11439
0622,THEFT,9455
0623,THEFT,8052
0624,BATTERY,12894
0631,BATTERY,10634
0632,THEFT,10283
0633,BATTERY,4744
0634,THEFT,6591
0711,BATTERY,8131
0712,BATTERY,9996
0713,BATTERY,9930
0714,BATTERY,5518
0715,BATTERY,5840
0722,BATTERY,6874
0723,BATTERY,8159
0724,BATTERY,6726
0725,BATTERY,9178
